t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
243,1.000000E+000,1.000000E+000,2.620126E-014,1.430707E+004,1.260196E-008,1.260196E-008
244,1.000000E+000,1.000000E+000,1.421085E-014,1.430707E+004,1.256740E-008,1.256740E-008
245,1.000000E+000,1.000000E+000,2.664535E-015,1.430707E+004,1.273293E-008,1.273293E-008
246,1.000000E+000,1.000000E+000,2.042810E-014,1.430707E+004,1.266380E-008,1.266380E-008
247,1.000000E+000,1.000000E+000,2.176037E-014,1.430707E+004,1.297485E-008,1.297485E-008
248,1.000000E+000,1.000000E+000,-8.881784E-015,1.430707E+004,1.266744E-008,1.266744E-008
249,1.000000E+000,1.000000E+000,3.019807E-014,1.430707E+004,1.272929E-008,1.272929E-008
250,1.000000E+000,1.000000E+000,2.220446E-014,1.430707E+004,1.317130E-008,1.317130E-008
251,1.000000E+000,1.000000E+000,-1.865175E-014,1.430707E+004,1.314220E-008,1.314220E-008
252,1.000000E+000,1.000000E+000,1.554312E-014,1.430707E+004,1.313310E-008,1.313310E-008
253,1.000000E+000,1.000000E+000,8.437695E-015,1.430707E+004,1.321132E-008,1.321132E-008
254,1.000000E+000,1.000000E+000,2.131628E-014,1.430707E+004,1.328772E-008,1.328772E-008
255,1.000000E+000,1.000000E+000,3.552714E-015,1.430707E+004,1.336775E-008,1.336775E-008
256,1.000000E+000,1.000000E+000,3.241851E-014,1.430707E+004,1.343687E-008,1.343687E-008
257,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,1.338412E-008,1.338412E-008
258,1.000000E+000,1.000000E+000,2.398082E-014,1.430707E+004,1.360058E-008,1.360058E-008
259,1.000000E+000,1.000000E+000,-1.820766E-014,1.430707E+004,1.352237E-008,1.352237E-008
260,1.000000E+000,1.000000E+000,1.110223E-014,1.430707E+004,1.364606E-008,1.364606E-008
261,1.000000E+000,1.000000E+000,1.865175E-014,1.430707E+004,1.367334E-008,1.367334E-008
262,1.000000E+000,1.000000E+000,-8.881784E-015,1.430707E+004,1.365515E-008,1.365515E-008
263,1.000000E+000,1.000000E+000,2.531308E-014,1.430707E+004,1.355329E-008,1.355329E-008
264,1.000000E+000,1.000000E+000,1.243450E-014,1.430707E+004,1.347144E-008,1.347144E-008
265,1.000000E+000,1.000000E+000,1.110223E-014,1.430707E+004,1.358239E-008,1.358239E-008
266,1.000000E+000,1.000000E+000,2.975398E-014,1.430707E+004,1.390799E-008,1.390799E-008
267,1.000000E+000,1.000000E+000,2.353673E-014,1.430707E+004,1.371882E-008,1.371882E-008
268,1.000000E+000,1.000000E+000,6.661338E-015,1.430707E+004,1.391345E-008,1.391345E-008
269,1.000000E+000,1.000000E+000,1.065814E-014,1.430707E+004,1.409717E-008,1.409717E-008
270,1.000000E+000,1.000000E+000,1.554312E-014,1.430707E+004,1.387889E-008,1.387889E-008
271,1.000000E+000,1.000000E+000,-8.881784E-016,1.430707E+004,1.413173E-008,1.413173E-008
272,1.000000E+000,1.000000E+000,4.884981E-015,1.430707E+004,1.378976E-008,1.378976E-008
273,1.000000E+000,1.000000E+000,7.549517E-015,1.430707E+004,1.446278E-008,1.446278E-008
